Time,Metamon,Kiss_Land,New_Harvard_N_Land,MUSK_USM_Land
06/01/2022 22:42:23,339988,364000,719999,1189990
06/01/2022 22:44:52,339988,364000,719999,1189990
06/01/2022 22:45:58,339988,364000,719999,1189990
06/01/2022 22:47:25,339988,364000,719999,1189990
06/01/2022 22:49:52,339988,364000,719999,1189990
06/01/2022 22:51:00,339966,364000,719999,1189990
06/01/2022 22:52:27,339966,364500,719999,1189990
06/01/2022 22:54:52,339966,364500,719999,1189990
06/01/2022 22:56:02,339966,364500,719999,1189990
06/01/2022 22:57:29,339966,364500,719999,1189990
06/01/2022 22:59:52,338000,364500,719999,1189990
06/01/2022 23:01:04,339966,364500,719999,1189990
06/01/2022 23:02:31,339966,364500,719999,1189990
06/01/2022 23:04:54,339966,359000,719999,1189990
06/01/2022 23:06:06,338000,364500,719999,1189990
06/01/2022 23:06:08,338000,364500,719999,1189990
06/01/2022 23:07:33,338000,364500,719999,1189990
06/01/2022 23:11:08,338000,364500,719999,1189990
06/01/2022 23:11:08,338000,364500,719999,1189990
06/01/2022 23:12:35,338000,364500,719999,1180000
06/01/2022 23:16:09,338000,364500,719999,1180000
06/01/2022 23:16:10,338000,364500,719999,1180000
06/01/2022 23:17:37,320000,364500,719999,1180000
06/01/2022 23:21:09,338000,364500,719999,1180000
06/01/2022 23:21:12,338000,364500,719999,1180000
06/01/2022 23:22:39,338000,364500,719999,1180000
06/01/2022 23:26:09,338000,364500,719999,1180000
06/01/2022 23:26:14,338000,364500,719999,1180000
06/01/2022 23:27:41,338000,364500,719999,1180000
06/01/2022 23:31:09,338000,364500,719999,1180000
06/01/2022 23:31:16,338000,364500,719999,1180000
06/01/2022 23:32:43,338000,364500,719999,1180000
06/01/2022 23:36:09,338000,364500,719999,1180000
06/01/2022 23:36:18,338000,364500,719999,1180000
06/01/2022 23:37:45,339966,364500,719999,1180000
06/01/2022 23:41:09,339988,369888,719999,1180000
06/01/2022 23:41:20,339988,369888,719999,1180000
06/01/2022 23:42:47,339000,369888,719999,1180000
06/01/2022 23:46:09,339000,369000,719999,1180000
06/01/2022 23:46:22,339000,369000,719999,1180000
06/01/2022 23:47:49,339000,369000,719999,1180000
06/01/2022 23:51:09,339000,369000,719999,1180000
06/01/2022 23:51:24,339000,369000,719999,1180000
06/01/2022 23:52:51,339000,365000,719999,1180000
06/01/2022 23:56:09,339988,365000,719999,1180000
06/01/2022 23:56:26,339988,365000,719999,1180000
06/01/2022 23:57:53,339988,365000,719999,1180000
07/01/2022 00:01:09,339988,365000,719999,1180000
07/01/2022 00:01:28,339988,365000,719999,1180000
07/01/2022 00:02:55,339988,365000,719999,1180000
07/01/2022 00:06:09,339988,365000,719999,1180000
07/01/2022 00:06:30,339988,365000,719999,1180000
07/01/2022 00:07:57,325000,365000,719999,1180000
07/01/2022 00:11:09,339988,365000,719999,1180000
07/01/2022 00:11:32,339988,365000,719999,1180000
07/01/2022 00:12:59,339988,365000,719999,1180000
07/01/2022 00:16:09,330000,365000,719999,1180000
07/01/2022 00:16:34,330000,365000,719999,1180000
07/01/2022 00:18:01,330000,365000,719999,1180000
07/01/2022 00:21:09,339988,364000,719999,1180000
07/01/2022 00:21:36,339988,364000,719999,1180000
07/01/2022 00:23:03,339988,363000,719999,1180000
07/01/2022 00:26:09,339988,360000,719999,1180000
07/01/2022 00:26:38,339988,360000,719999,1180000
07/01/2022 00:28:05,339988,360000,719999,1180000
07/01/2022 00:31:09,339988,360000,719999,1180000
07/01/2022 00:31:40,339988,360000,719999,1180000
07/01/2022 00:33:07,339988,360000,719999,1180000
07/01/2022 00:36:10,339988,360000,719999,1180000
07/01/2022 00:36:42,339988,360000,719999,1180000
07/01/2022 00:38:09,339988,360000,719999,1180000
07/01/2022 00:41:10,339988,355550,719999,1156789
07/01/2022 00:41:44,339988,355550,719999,1156789
07/01/2022 00:43:11,339988,355550,719999,1156789
07/01/2022 00:46:10,335799,355550,719999,1156789
07/01/2022 00:46:46,335799,355550,719999,1156789
07/01/2022 00:48:13,335799,355550,719999,1156789
07/01/2022 00:51:10,339988,355550,719999,1156789
07/01/2022 00:51:48,339988,355550,719999,1156789
07/01/2022 00:53:15,339988,355550,719999,1156789
07/01/2022 00:56:10,339988,355550,719999,1156789
07/01/2022 00:56:50,339988,355550,719999,1156789
07/01/2022 00:58:17,339988,355550,719999,1156789
07/01/2022 01:01:10,339988,355550,719999,1156789
07/01/2022 01:01:52,339000,355550,719999,1156789
07/01/2022 01:03:19,339988,355550,719999,1156789
07/01/2022 01:06:10,339988,355550,719999,1156789
07/01/2022 01:06:54,339988,360000,719999,1156789
07/01/2022 01:08:21,339988,360000,719999,1156789
07/01/2022 01:11:10,339988,360000,719999,1156789
07/01/2022 01:11:56,339988,360000,719999,1156789
07/01/2022 01:13:23,339988,360000,719999,1156789
07/01/2022 01:16:10,339988,360000,719999,1156789
